Date,Price,Open,Change_in_percent,pe,pb,div_yield_percent
2017-02-13,8805.05,8819.80,0.13,23.15,3.34,1.25
2017-02-10,8793.55,8812.35,0.17,23.34,3.33,1.26
2017-02-09,8778.40,8795.55,0.11,23.31,3.33,1.26
2017-02-08,8769.05,8774.55,0.01,23.28,3.32,1.26
2017-02-07,8768.30,8805.70,-0.37,23.31,3.32,1.26
2017-02-06,8801.05,8785.45,0.69,23.43,3.34,1.25
2017-02-03,8740.95,8735.15,0.08,23.29,3.31,1.26
2017-02-02,8734.25,8724.75,0.20,23.38,3.31,1.26
2017-02-01,8716.40,8570.35,1.81,23.27,3.30,1.27
2017-01-31,8561.30,8629.45,-0.83,22.86,3.25,1.29
2017-01-30,8632.75,8635.55,-0.10,22.98,3.27,1.28
2017-01-27,8641.25,8610.50,0.45,23.00,3.28,1.28
2017-01-25,8602.75,8499.45,1.50,22.98,3.26,1.28
2017-01-24,8475.80,8407.05,1.00,22.64,3.21,1.3
2017-01-23,8391.50,8329.60,0.50,22.48,3.18,1.32
2017-01-20,8349.35,8404.35,-1.02,22.37,3.17,1.32
2017-01-19,8435.10,8418.40,0.22,22.44,3.20,1.31
2017-01-18,8417.00,8403.85,0.23,22.39,3.19,1.31
2017-01-17,8398.00,8415.05,-0.18,22.40,3.18,1.32
2017-01-16,8412.80,8390.95,0.15,22.50,3.19,1.31
2017-01-13,8400.35,8457.65,-0.08,22.47,3.18,1.31
2017-01-12,8407.20,8391.05,0.32,22.50,3.19,1.31
2017-01-11,8380.65,8327.80,1.11,22.42,3.18,1.32
2017-01-10,8288.60,8262.70,0.64,22.39,3.14,1.33
2017-01-09,8236.05,8259.35,-0.09,22.07,3.12,1.34
2017-01-06,8243.80,8281.85,-0.36,22.09,3.13,1.34
2017-01-05,8273.80,8226.65,1.02,22.17,3.14,1.33
2017-01-04,8190.50,8202.65,-0.02,21.94,3.11,1.35
2017-01-03,8192.25,8196.05,0.16,22.12,3.11,1.35
2017-01-02,8179.50,8210.10,-0.08,22.08,3.10,1.35
2016-12-30,8185.80,8119.65,1.01,21.93,3.10,1.35
2016-12-29,8103.60,8030.60,0.86,21.89,3.07,1.36
2016-12-28,8034.85,8047.55,0.02,21.71,3.05,1.37
2016-12-27,8032.85,7915.05,1.58,21.70,3.05,1.37
2016-12-26,7908.25,7965.10,-0.97,21.36,3.00,1.4
2016-12-23,7985.75,7972.50,0.08,21.39,3.03,1.38
2016-12-22,7979.10,8043.85,-1.02,21.18,3.03,1.38
2016-12-21,8061.30,8105.85,-0.26,21.16,3.06,1.37
2016-12-20,8082.40,8110.60,-0.27,21.24,3.06,1.37
2016-12-19,8104.35,8126.00,-0.43,21.30,3.07,1.36
2016-12-16,8139.45,8178.20,-0.17,21.37,3.09,1.36
2016-12-15,8153.60,8128.40,-0.35,21.41,3.09,1.35
2016-12-14,8182.45,8229.35,-0.48,21.48,3.10,1.35
2016-12-13,8221.80,8196.15,0.62,21.59,3.12,1.34
2016-12-12,8170.80,8230.65,-1.10,21.45,3.10,1.35
2016-12-09,8261.75,8271.70,0.18,21.87,3.13,1.34
2016-12-08,8246.85,8152.10,1.79,21.83,3.13,1.34
2016-12-07,8102.05,8168.40,-0.50,21.28,3.07,1.36
2016-12-06,8143.15,8153.15,0.18,21.56,3.09,1.36
2016-12-05,8128.75,8088.75,0.52,21.34,3.08,1.36
2016-12-02,8086.80,8153.55,-1.30,21.25,3.07,1.37
2016-12-01,8192.90,8244.00,-0.38,21.53,3.11,1.35
2016-11-30,8224.50,8172.15,1.01,21.61,3.12,1.34
2016-11-29,8142.15,8131.55,0.19,21.43,3.09,1.36
2016-11-28,8126.90,8080.65,0.16,21.55,3.08,1.36
2016-11-25,8114.30,8007.95,1.87,21.52,3.08,1.36
2016-11-24,7965.50,8011.80,-0.84,21.29,3.02,1.39
2016-11-23,8033.30,8051.20,0.39,21.47,3.04,1.38
2016-11-22,8002.30,7989.15,0.92,21.38,3.03,1.38
2016-11-21,7929.10,8102.10,-1.80,21.19,3.00,1.4
2016-11-18,8074.10,8097.55,-0.07,21.41,3.06,1.37
2016-11-17,8079.95,8105.10,-0.39,21.49,3.06,1.37
2016-11-16,8111.60,8205.65,0.04,21.62,3.07,1.36
2016-11-15,8108.45,8284.85,-2.26,21.37,3.07,1.36
2016-11-11,8296.30,8456.65,-2.69,22.02,3.14,1.33
2016-11-10,8525.75,8555.60,1.11,22.70,3.23,1.3
2016-11-09,8432.00,8067.50,-1.31,22.48,3.19,1.31
2016-11-08,8543.55,8540.00,0.55,22.57,3.24,1.3
2016-11-07,8497.05,8535.75,0.75,22.67,3.22,1.3
2016-11-04,8433.75,8503.60,-0.60,22.73,3.19,1.31
2016-11-03,8484.95,8499.85,-0.34,22.93,3.21,1.3
2016-11-02,8514.00,8542.80,-1.30,23.01,3.23,1.3
2016-11-01,8626.25,8653.15,0.01,23.31,3.27,1.28
2016-10-30,8625.70,8672.35,-0.14,23.31,3.27,1.28
2016-10-28,8638.00,8625.00,0.26,23.34,3.27,1.28
2016-10-27,8615.25,8607.10,0.00,23.28,3.26,1.28
2016-10-26,8615.25,8657.30,-0.88,23.30,3.26,1.28
2016-10-25,8691.30,8721.70,-0.20,23.23,3.29,1.27
2016-10-24,8708.95,8709.85,0.18,23.27,3.30,1.27
2016-10-21,8693.05,8708.60,-0.07,23.23,3.29,1.27
2016-10-20,8699.40,8693.35,0.47,23.46,3.30,1.27
2016-10-19,8659.10,8697.50,-0.22,23.35,3.28,1.28
2016-10-18,8677.90,8556.05,1.85,23.22,3.29,1.28
2016-10-17,8520.40,8612.95,-0.73,23.00,3.23,1.3
2016-10-14,8583.40,8594.00,0.12,22.98,3.25,1.29
2016-10-13,8573.35,8671.50,-1.56,23.16,3.25,1.29
2016-10-10,8708.80,8735.35,0.13,23.34,3.30,1.27
2016-10-07,8697.60,8721.70,-0.14,23.49,3.29,1.27
2016-10-06,8709.55,8768.70,-0.39,23.52,3.30,1.27
2016-10-05,8743.95,8806.35,-0.29,23.43,3.32,1.27
2016-10-04,8769.15,8770.00,0.36,23.95,3.33,1.26
2016-10-03,8738.10,8666.15,1.47,23.80,3.31,1.27
